,tweet_id,author_id,inbound,created_at,text,response_tweet_id,in_response_to_tweet_id,date,category_raw,category,complaint_category_raw
3,579527,256481,True,Sun Dec 03 11:01:33 +0000 2017,"@Delta No more nonstop service from LAX-CVG except a red eye?? What are you people thinking? If I have to connect, you’ve lost a customer. Pls reconsider. You were the only nonstop left...",579526,,2017-12-03,complaint,flight booking problems,Flight Booking Problems
4,579530,256482,True,Sun Dec 03 10:50:29 +0000 2017,When @delta charges you $100 for an overweight bag because you packed a case of 🍾 but your entire fare for your BOS 🛫HNL trip is now only $200 &amp; they hooked you up with a window seat https://t.co/MEa7WFxDKE,579528,,2017-12-03,complaint,lost/damaged luggage,Lost/Damaged Luggage.
6,580211,256662,True,Sun Dec 03 11:21:01 +0000 2017,My husband is @Delta  Diamond and I'm Gold and we have 2 guests and we can't all get in the same lounge because his status is too high for @26938 at LHR despite @VirginAtlantic saying we could get in. #Furious #NotPayingForGuests #NotSplittingUp #Idiotic,580209,,2017-12-03,complaint,flight booking problems,Flight Booking Problems
7,580960,256884,True,Sun Dec 03 12:06:39 +0000 2017,Heard back from @Delta days ago about missing MQMs/miles. They claimed they’d look into it and check...still waiting. Are they waiting til it’s too late for me to do a mile-run?,"580959,580961",,2017-12-03,complaint,flight booking problems,Flight Booking Problems
9,581587,257061,True,Sun Dec 03 12:37:52 +0000 2017,@delta why send me a notification and an email saying I'm upgraded then 24 hours later I'm not upgraded?,581585,,2017-12-03,complaint,flight booking problems,Flight Booking Problems
13,582319,257270,True,Sun Dec 03 13:12:00 +0000 2017,"@Delta Hope that you will talk to supervisors about passenger service during boarding on fl 3385 this morning. Two minutes before boarding, agents refused to tell passengers their seats. Caused a woman with kids huge stress. It was just #lazy #NoGoodExcuse",582317,,2017-12-03,complaint,poor customer service,Poor Customer Service.
15,583149,257521,True,Sun Dec 03 13:43:41 +0000 2017,Hey @Delta how do you handle a flight attendant that did not attempt to help a customer with lower back issues and knee problems on a 5hr flight who was denied assistance when unable to recline seat from baby seat in which child was never restrained. Flight 2222 ogg-lax 12/1,583148,,2017-12-03,complaint,flight attendant complaints,Flight Attendant Complaints
19,578845,256295,True,Sun Dec 03 10:41:14 +0000 2017,"The dreaded ""mechanical irregularity"" has us grounded at CDG...here's hoping we get in the air soon. @Delta","578844,578846,578847,578848,578849",,2017-12-03,complaint,flight delays,Category: Flight Delays.
21,577479,255930,True,Sun Dec 03 08:51:35 +0000 2017,@Delta lost my new running watch in biz class trip frm Pdx to Ams. Seem to have slipped into the seat. Pls suggest what shd I do to report.,"577477,577484",,2017-12-03,complaint,lost/damaged luggage,Lost/Damaged Luggage.
25,574730,255198,True,Sun Dec 03 06:53:27 +0000 2017,Didn’t even fly with @Delta and they screw us at the airport. Take our gate and don’t have anyone to move their damn plane. Extra hour on the tarmac is so fun #dontflydelta,574729,,2017-12-03,complaint,flight delays,Category: Flight Delays
34,577463,243414,True,Sun Dec 03 09:07:00 +0000 2017,@Delta in the Amsterdam airport for four hours because of the cancelled flight yesterday. We need 6 lounge vouchers for my family and i,577462,,2017-12-03,complaint,flight cancellation,Category: Flight Cancellation
35,577465,255928,True,Sun Dec 03 09:22:07 +0000 2017,Omg can’t stand @Delta. Worst airline of all time!! Won’t fly them ever again. Last on my list! https://t.co/NaDKGUow4a,"577464,577466,577467,577468,577469",,2017-12-03,complaint,bad flight experience,Category: Bad Flight Experience.
36,577471,255929,True,Sun Dec 03 09:10:36 +0000 2017,I can't stand @Delta customer service. Delta is clearly not about their customers. I need to change a flight and they make you pay almost 3x the worth of the flight. I'll never fly them again.,"577472,577470,577473,577474,577475,577476",,2017-12-03,complaint,flight booking problems,Category: Flight Booking Problems
37,583155,257524,True,Sun Dec 03 13:31:19 +0000 2017,"Flown 4 different airlines the past month and @Delta is by far the worst! In fact, the only one that wasn’t seamless.",583154,,2017-12-03,complaint,bad flight experience,Bad Flight Experience.
38,583159,257526,True,Sun Dec 03 13:25:55 +0000 2017,@Delta I’m. Medallion member choosing to go stand by..I didn’t realize this came with rude gate agents. I would have kept original flight in Comfort with Sky Priority boarding. #workoncustomerserviceforyourloyalcustomers,583158,,2017-12-03,complaint,poor customer service,Category: Poor Customer Service
41,586419,258486,True,Sun Dec 03 15:13:56 +0000 2017,@DELTA so is policy to install navigation upgrade without testing them?? Or that just my experience? DL2233,"586418,586420",,2017-12-03,complaint,,Flight Experience Complaint.
46,587561,258807,True,Sun Dec 03 15:43:52 +0000 2017,Hey @Delta just wanted to let you know I missed my grandfather's funeral because you wouldn't let me on the plane. Just because I wasn't 30 minutes early. (Was 25) And then you wouldn't offer me a refund either. How does it feel to steal $600 from a service member in his blues?,"587562,587560",,2017-12-03,complaint,flight booking problems,Category: Flight Booking Problems.
50,587574,258809,True,Sun Dec 03 15:34:45 +0000 2017,"Buying Wi-Fi and having to log in/out 87 times on consecutive flights is basically paying to torture yourself. Tysm, @Delta",587573,,2017-12-03,complaint,bad flight experience,Category: Bad Flight Experience.
55,588902,259191,True,Sun Dec 03 16:14:06 +0000 2017,@Delta Where can I leave a review at ? Horribly disappointed in the way customer service treats passengers,588901,,2017-12-03,complaint,poor customer service,Poor Customer Service.
56,588910,259193,True,Sun Dec 03 16:04:36 +0000 2017,"It's been a warm autumn, but winter arrived with a vengeance when I stepped onto this typically frigid @delta flight.",588909,,2017-12-03,complaint,bad flight experience,Category: Bad Flight Experience.
59,586411,209281,True,Sun Dec 03 15:17:58 +0000 2017,"@120943 @18779 @122828 @Delta I arrived one hour before my flight, checked no bags and went straight to security but still missed flight delta2452 due to ONE @120943 officer checking boarding passes for entire south terminal security. #ATLMayor #Atlanta #Delta https://t.co/tNQPif4v5e",586410,,2017-12-03,complaint,flight delays,Category: Flight Delays
